DATE,VACANCY RATE
1/1/2004,6.4
31/3/2004,5.1
29/6/2004,6.3
27/9/2004,4.7
26/12/2004,4.6
26/3/2005,6.4
24/6/2005,5
22/9/2005,5.9
21/12/2005,4.9
21/3/2006,5.7
19/6/2006,5.2
17/9/2006,5.9
16/12/2006,6
16/3/2007,6.3
14/6/2007,6.1
12/9/2007,5.4
11/12/2007,4.8
10/3/2008,5.8
8/6/2008,5.4
6/9/2008,5.9
5/12/2008,6.5
5/3/2009,5.2
3/6/2009,5.4
1/9/2009,5.2
30/11/2009,5.1
28/2/2010,5
29/5/2010,5.2
27/8/2010,5.2
25/11/2010,5.2
23/2/2011,6.4
24/5/2011,5.3
22/8/2011,4.5
20/11/2011,6.4
18/2/2012,5.7
18/5/2012,5.1
16/8/2012,6.1
14/11/2012,4.5
12/2/2013,6.2
13/5/2013,4.7
11/8/2013,4.5
9/11/2013,4.8
7/2/2014,6.2
8/5/2014,4.6
6/8/2014,6.3
4/11/2014,5.1
2/2/2015,4.9
3/5/2015,5.8
1/8/2015,5
30/10/2015,5.6
28/1/2016,6
27/4/2016,5.8
26/7/2016,5.1
24/10/2016,5.8
22/1/2017,5.8
22/4/2017,4.5
21/7/2017,5.4
19/10/2017,5.8
17/1/2018,5.3
17/4/2018,4.8
16/7/2018,6.3
14/10/2018,4.5
12/1/2019,6.2
12/4/2019,4.8
11/7/2019,6.5
9/10/2019,6.3
7/1/2020,4.7
6/4/2020,6
5/7/2020,5.8
3/10/2020,6.2
1/1/2021,5.5
1/4/2021,5.1
30/6/2021,6.1
28/9/2021,6
27/12/2021,5.6
27/3/2022,6.5
25/6/2022,6
23/9/2022,5.5
22/12/2022,6.4
22/3/2023,5.5
20/6/2023,6.2
18/9/2023,4.6
17/12/2023,4.8
